genre,rate,metascore,votes,user_reviews,critic_reviews,popularity,awards_nominations,Oscar_nominated,Golden_Globes_nominated,BAFTA_nominated,Screen_Actors_Guild_nominated,Critics_Choice_nominated,Directors_Guild_nominated,Producers_Guild_nominated,Art_Directors_Guild_nominated,Writers_Guild_nominated,Costume_Designers_Guild_nominated,Online_Film_Television_Association_nominated,Online_Film_Critics_Society_nominated,People_Choice_nominated,London_Critics_Circle_Film_nominated
Action|Sci-Fi|Thriller,6.4000001,66,313931,1680,278,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama|Thriller,7.5999999,86,173632,871,220,1469,47,5,5,4,2,4,1,0,0,1,1,12,8,0,0
Adventure|Comedy|Drama,7.9000001,90,212643,826,146,1002,55,4,4,6,3,5,1,1,1,1,1,12,11,0,2
Crime|Drama|Thriller,7,63,42344,246,131,2410,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Comedy,6.5,49,190379,483,154,2501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biography|Drama,7,77,23585,148,114,2432,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Action|Adventure|Romance,6.9000001,54,140668,659,165,1236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Comedy|Drama,7.4000001,73,55707,338,172,1357,30,3,4,2,0,3,0,0,1,1,0,7,4,0,2
Action|Adventure|Sci-Fi,2.4000001,9,66552,1311,173,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comedy|Fantasy,5.30000019,38,82544,238,86,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crime|Drama|Mystery,7.4000001,67,84574,511,170,2283,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Action|Adventure|Thriller,6.4000001,73,61837,328,166,3244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Crime|Thriller,6.5,35,223486,503,175,1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Drama|History,7.0999999,63,213438,1147,190,884,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1
Action|Horror|Sci-Fi,6.69999981,52,164050,562,224,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drama|Horror,6.9000001,71,34859,340,199,0,8,2,1,0,1,0,0,0,0,0,0,3,1,0,0
Action|Adventure|Fantasy,7.9000001,93,221957,1645,288,2121,66,10,3,14,0,2,1,1,1,1,0,19,8,0,3
Adventure|Comedy|Crime,7.80000019,69,232646,867,201,970,11,2,2,4,0,0,0,0,0,0,0,0,2,0,2
Biography|Drama|Romance,6.5999999,44,6463,45,31,798,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Action|Adventure|Drama,5.9000001,48,50576,380,131,2228,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
